Day5 Rep1,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep2,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep3,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep4,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep5,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan
,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
,0.954286267,0.008464189,0.923583034,0.00897473,0.957698733,0.018556708,0.92779444,0.017849586,0.9388298,0.019887801,0.908630684,0.017954964,,,0.8960736,0.020409754,0.870966696,0.020317996,0.870379733,0.028730824,0.848776605,0.02612803,0.851109333,0.018504522,0.826642058,0.016828273,,,0.888646467,0.01843908,0.859265098,0.01530825,0.846091,0.01113663,0.816359742,0.011110589,0.852113,0.01547861,0.814611679,0.015104821,,,0.9430452,0.028172836,0.899606462,0.027350525,0.944651067,0.007887569,0.908746068,0.009337548,0.947461333,0.015473402,0.903017139,0.013838981,,,0.9436474,0.010302138,0.907336418,0.011905793,0.958501667,0.017218661,0.923316339,0.014804228,0.945454,0.015147056,0.906271151,0.014022252
,1.908572533,0.016928379,1.854256969,0.015137051,1.915397467,0.037113417,1.851904616,0.033072177,1.8776596,0.039775603,1.815514475,0.037122635,,,1.7921472,0.040819507,1.752592059,0.039122427,1.740759467,0.057461648,1.697505538,0.050718838,1.702218667,0.037009043,1.663511519,0.032795767,,,1.777292933,0.036878161,1.733117311,0.028753361,1.692182,0.022273261,1.634274335,0.022482855,1.704226,0.030957219,1.640122401,0.02812401,,,1.8860904,0.056345671,1.809409968,0.051149188,1.889302133,0.015775137,1.818374913,0.019176001,1.894922667,0.030946805,1.812255279,0.028547974,,,1.8872948,0.020604277,1.821629322,0.020975495,1.917003333,0.034437323,1.842160293,0.032739266,1.890908,0.030294112,1.817846145,0.026023366
,10.49714893,0.093106084,9.521945221,0.056909833,10.53468607,0.204123791,9.482136117,0.136716587,10.3271278,0.218765814,9.443819754,0.211406141,,,9.8568096,0.224507289,9.24863663,0.196249189,9.574177067,0.316039063,8.91739784,0.174842883,9.362202667,0.203549737,8.832383246,0.17044384,,,9.775111133,0.202829884,9.067196938,0.160903038,9.307001,0.122502934,8.5963705,0.108760408,9.373243,0.170264706,8.72823405,0.138387319,,,10.3734972,0.309901193,9.32234764,0.138593938,10.39116173,0.086763254,9.548008503,0.150019871,10.42207467,0.170207427,9.571475907,0.115781435,,,10.3801214,0.113323523,9.334191257,0.068456599,10.54351833,0.189405276,9.329662457,0.284786721,10.399994,0.166617615,9.528462273,0.15475974
,29.58287427,0.262389873,21.8924816,0.333564829,29.68866073,0.575257957,22.11091626,0.193237447,29.1037238,0.616521839,22.12026803,0.676425935,,,27.7782816,0.63270236,23.36599774,0.862629831,26.98177173,0.890655542,21.6942739,0.615169499,26.38438933,0.573640167,21.95191804,0.944738647,,,27.54804047,0.571611491,23.0420771,1.047484172,26.228821,0.34523554,21.84697977,0.790989288,26.415503,0.4798369,22.64604415,0.268378572,,,29.2344012,0.873357908,22.88949184,0.420475506,29.28418307,0.244514624,24.32936405,1.359775685,29.37130133,0.479675475,24.07861114,0.600171131,,,29.2530694,0.319366292,21.70103664,0.048581353,29.71355167,0.533778506,22.18018005,0.382770598,29.309074,0.469558733,22.47399358,0.15025316
,52.48574467,0.465530419,35.63840231,0.192862659,52.67343033,1.020618956,36.04623236,0.376892999,51.635639,1.093829069,35.48973445,1.038006589,,,49.284048,1.122536445,38.6961173,1.655028437,47.87088533,1.580195316,36.00348047,1.038145269,46.81101333,1.017748684,36.02143597,1.243122803,,,48.87555567,1.01414942,38.89401331,1.520486792,46.535005,0.612514669,37.12636568,1.338455047,46.866215,0.851323532,38.33162991,0.482337582,,,51.867486,1.549505965,38.63120702,0.517381896,51.95580867,0.433816268,40.99835155,2.45526446,52.11037333,0.851037133,39.68887158,1.041249196,,,51.900607,0.566617614,36.91052823,0.19018929,52.71759167,0.947026382,37.46829503,0.726090512,51.99997,0.833088074,36.66262885,0.152182871
,76.34290133,0.677135155,50.91419375,0.299072911,76.61589867,1.484536663,51.09525543,0.705162365,75.106384,1.591024101,49.35871771,1.175086404,,,71.685888,1.632780283,54.31418118,2.068048429,69.63037867,2.298465914,51.13659823,1.522278967,68.08874667,1.480361722,50.22224284,1.233645147,,,71.09171733,1.475126429,55.02411598,1.580088995,67.68728,0.890930427,52.9093956,1.641965504,68.16904,1.238288774,54.03578516,0.672763746,,,75.443616,2.253826859,55.34395557,0.349635154,75.57208533,0.631005481,58.08988219,2.837692033,75.79690667,1.237872193,56.2746244,1.242464,,,75.491792,0.824171075,53.23382182,0.210505999,76.68013333,1.377492919,53.99644539,1.232520318,75.63632,1.211764471,52.29413091,0.273184925
,108.7886344,0.964917596,72.19836639,0.727433782,109.1776556,2.115464745,71.88355885,1.108517411,107.0265972,2.267209343,68.67573492,1.527644278,,,102.1523904,2.326711904,75.38393821,2.373713619,99.2232896,3.275313928,71.4962406,1.887866011,97.026464,2.109515453,69.09772878,1.289946915,,,101.3056972,2.102055161,76.33225134,1.665496988,96.454374,1.269575859,73.5701485,1.993090447,97.140882,1.764561504,74.32739083,0.825361865,,,107.5071528,3.211703273,77.25004333,0.474371602,107.6902216,0.89918281,80.4773539,3.090932335,108.010592,1.763967875,78.22329862,1.330847219,,,107.5758036,1.174443783,74.809164,0.360131674,109.26919,1.96292741,76.27618174,1.693997451,107.781756,1.726764371,73.40379252,0.210910071
,143.14294,1.269628416,94.26173109,1.147686649,143.65481,2.783506243,94.45167491,1.636210611,140.82447,2.983170189,90.0367596,1.964288469,,,134.41104,3.061463031,97.26757795,2.271211445,130.55696,4.309623589,93.17367727,2.267914607,127.6664,2.775678228,89.74099612,1.596685282,,,133.29697,2.765862054,97.74751683,2.173524246,126.91365,1.670494551,95.10415298,2.061858362,127.81695,2.321791452,95.68945501,1.049758937,,,141.45678,4.22592536,98.08184904,1.094306885,141.69766,1.183135276,102.8639812,2.825712355,142.1192,2.321010362,100.8665438,1.442064088,,,141.54711,1.545320767,95.47017451,1.042831359,143.77525,2.582799224,99.01108226,2.234939158,141.8181,2.272058383,95.65163839,0.063189428
,186.085822,1.65051694,117.8454174,1.678087596,186.751253,3.618558116,121.4620324,2.099722881,183.071811,3.878121245,116.7897786,2.37314901,,,174.734352,3.97990194,121.3745043,1.620403837,169.724048,5.602510666,119.5522383,2.73170366,165.96632,3.608381696,115.2858646,2.078609153,,,173.286061,3.59562067,120.7025141,3.356278661,164.987745,2.171642916,119.7501014,2.138927162,166.162035,3.018328888,121.0416068,1.140694275,,,183.893814,5.493702968,119.1866725,2.041367224,184.206958,1.538075859,127.2265875,2.621802957,184.75496,3.01731347,126.1141921,2.062456013,,,184.011243,2.008916996,116.501123,2.110007734,186.907825,3.357638991,124.0554134,2.886678864,184.36353,2.953675898,121.3976454,0.386668852
,248.1144293,2.200689254,143.4615561,2.831908497,249.0016707,4.824744155,154.6429259,2.492696555,244.095748,5.170828327,152.3641468,2.348280736,,,232.979136,5.30653592,148.4200835,0.435574683,226.2987307,7.470014221,152.9614191,3.017346396,221.2884267,4.811175595,149.8210911,2.667255864,,,231.0480813,4.794160893,146.1997099,5.298176984,219.98366,2.895523888,149.6044728,2.330322335,221.54938,4.024438517,153.4641909,1.320217685,,,245.191752,7.32493729,141.6805633,3.492025023,245.6092773,2.050767813,154.8238727,2.409815848,246.3399467,4.023084627,156.1564549,3.474458907,,,245.348324,2.678555995,138.9327411,3.526135808,249.2104333,4.476851988,152.6296889,3.598471327,245.81804,3.938234531,152.4898911,1.072153329
,329.228762,2.920145356,165.3256333,4.322641847,330.406063,6.40206436,186.2841759,2.754873903,323.896281,6.861291434,189.3041762,2.132952161,,,309.145392,7.041364971,172.6228087,1.389119464,300.281008,9.912134255,186.5565487,3.10861627,293.63272,6.384059925,188.1876285,3.378467545,,,306.583031,6.361482723,168.9807687,7.567199118,291.901395,3.842137467,179.2140989,2.317877867,293.978985,5.34012034,187.3151164,1.013605999,,,325.350594,9.719628327,160.8429998,5.26591968,325.904618,2.721211136,180.6455409,2.215603244,326.87416,5.338323831,185.7590878,4.709790681,,,325.558353,3.554237763,158.5215206,4.968253449,330.683075,5.940438215,179.8155997,4.035155046,326.18163,5.225734282,183.4531273,1.834426648
,419.8859573,3.724243353,180.2974713,5.727028479,421.3874427,8.164951647,210.4740699,3.112881139,413.085112,8.750632553,218.7830511,2.065480533,,,394.272384,8.980291557,189.1758342,2.45675656,382.9670827,12.64156253,212.3578635,3.58926483,374.4881067,8.141989469,220.2272981,4.146686714,,,391.0044453,8.113195357,184.3403033,9.841491551,372.28004,4.900117349,202.054618,2.240505824,374.92972,6.810588259,216.0103556,0.551501805,,,414.939888,12.39604772,173.5663732,6.32712897,415.6464693,3.470530144,199.7346292,2.396740145,416.8829867,6.80829706,208.9589109,5.390148627,,,415.204856,4.532940915,171.3488498,6.2765704,421.7407333,7.576211057,200.3647883,4.460369289,415.99976,6.664704591,207.9208789,2.221141273
,530.5831643,4.706089327,190.9648464,6.698216386,532.4804957,10.31752981,228.9347403,3.162032862,521.9893688,11.0576175,242.6833917,2.803328863,,,498.2169216,11.34782297,201.2748701,3.953501184,483.9311317,15.9743381,231.5221756,4.172702299,473.2167893,10.28851397,246.7170874,5.185615124,,,494.0874355,10.25212868,194.2554777,11.20473386,470.426596,6.191966468,219.2186536,2.386838383,473.774828,8.606106982,239.2784573,1.862921311,,,524.3331312,15.66409667,181.8403923,7.085667715,525.2259931,4.385488091,213.4068824,1.892560847,526.7885013,8.60321174,226.7558168,6.316519456,,,524.6679544,5.727988975,180.7559019,7.148246656,532.9269267,9.573575791,215.0854658,4.878866907,525.672424,8.421763074,227.5946083,3.257252215
,658.457524,5.840290712,195.8512417,6.952678493,660.812126,12.80412872,240.0457143,3.633927031,647.792562,13.72258287,259.2390092,3.041119041,,,618.290784,14.08272994,206.9112386,4.478020029,600.562016,19.82426851,243.3054269,4.166852787,587.26544,12.76811985,265.1018635,5.973090367,,,613.166062,12.72296545,198.9672477,12.29043235,583.80279,7.684274933,229.9452588,2.359955932,587.95797,10.68024068,254.6161971,3.418416795,,,650.701188,19.43925665,185.3822799,7.410118593,651.809236,5.442422272,220.0979892,2.426392914,653.74832,10.67664766,237.2656487,6.941758379,,,651.116706,7.108475526,185.0680202,7.739701942,661.36615,11.88087643,223.9910833,5.008291048,652.36326,10.45146856,239.7550981,4.077994631
,805.4176091,7.143775885,197.4977948,7.937393548,808.2977309,15.6618618,245.8293605,3.779845947,792.3723512,16.78530426,269.1926802,4.204990518,,,756.2861184,17.22583199,208.2967512,4.979303163,734.6004949,24.2488154,249.6111309,4.432376277,718.3362773,15.61781616,276.036462,7.274011403,,,750.0176179,15.56258382,199.7597472,13.08155856,714.100804,9.399316005,234.714332,2.256389547,719.183372,13.06394657,263.9647008,4.860163437,,,795.9301488,23.77787336,185.4644123,7.37373647,797.2855003,6.657107822,222.6251226,2.961395078,799.6573653,13.05955163,242.2238864,6.897647647,,,796.4384056,8.695004846,186.1277733,7.295062445,808.9754067,14.5325503,228.3146199,4.766322178,797.963176,12.78411517,245.9562202,4.402655962
,960.9662705,8.523438764,195.3199869,7.996128654,964.4026245,18.68660525,247.236889,3.831428209,945.4016086,20.02701587,272.9459256,5.258187102,,,902.3461152,20.55262181,206.2620499,6.026967573,876.4723915,28.9319397,249.9485941,4.413971692,857.0670987,18.63405317,280.1347642,8.667631515,,,894.8669919,18.56815392,197.3845326,13.48317837,852.013637,11.21458675,234.3580452,2.63725983,858.077791,15.58695995,266.1658072,6.304685625,,,949.6465164,28.37004558,182.8044025,7.65354382,951.2636241,7.942781489,221.9390963,3.241834095,954.0935627,15.58171623,242.0387254,7.622972027,,,950.2529318,10.37425341,183.7252781,8.229785656,965.2111783,17.33919212,228.3653067,4.229705676,952.072178,15.25308528,247.7695023,4.524382069
,1151.823524,10.21627665,192.2311849,7.765440191,1155.942371,22.3979469,244.3983893,4.081018709,1133.167569,24.00457612,272.5582772,6.027085223,,,1081.560835,24.63457252,201.5294347,6.469861787,1050.548338,34.67810448,246.6298676,4.322475818,1027.288965,22.33495748,279.6399746,9.225709649,,,1072.596285,22.25596999,191.9109665,13.1129788,1021.231837,13.44191282,230.3761903,2.713660386,1028.500391,18.68268188,263.8949505,6.441084989,,,1138.255556,34.00461273,176.6522408,6.923759481,1140.193837,9.520295191,216.8348254,3.581353766,1143.585829,18.67639671,238.0979221,7.770645516,,,1138.982412,12.4346811,179.5656843,7.260126424,1156.911512,20.78292442,224.1980303,3.94487748,1141.162978,18.28249646,244.8863723,3.931650516
,1349.360781,11.96836386,185.5606402,8.418554105,1354.186009,26.23918552,238.2676124,3.913077095,1327.505337,28.12135098,267.2487437,6.933915014,,,1267.04807,28.8593915,194.801789,6.423860866,1230.716943,40.62538503,240.6780425,4.134237255,1203.468597,26.16539343,274.6747846,9.317240365,,,1256.546104,26.07285963,184.5933987,12.11426886,1196.372674,15.7471953,223.4428238,3.197247182,1204.887782,21.88675409,256.6838979,7.611665447,,,1333.465913,39.83638972,170.5330818,6.782381996,1335.736608,11.15302187,208.7899208,4.277766015,1339.710325,21.87939101,231.1890019,7.67838527,,,1334.317424,14.56722376,173.231912,7.609035731,1355.321357,24.34718735,218.6638375,4.13856579,1336.871956,21.41793703,238.433597,4.52149147
,1611.789504,14.29601596,176.5752052,7.546792211,1617.553161,31.3422803,228.7825847,4.507650818,1585.683532,33.59049632,257.7499182,6.464199599,,,1513.46831,34.47207373,184.7362478,7.261986521,1470.07137,48.52636161,229.8536656,3.832630068,1437.523664,31.25413685,263.5284757,9.494851428,,,1500.923882,31.14360672,175.8214501,12.53430683,1429.047699,18.80976864,214.0383436,2.444395973,1439.218857,26.14337175,247.261669,7.241733065,,,1592.803343,47.58391955,161.6725038,5.849544957,1595.515652,13.32210321,197.5761154,2.559677212,1600.262192,26.13457667,222.1114459,6.639709984,,,1593.820459,17.40031183,164.0481207,7.620102908,1618.909315,29.08231926,207.881134,3.725244718,1596.871806,25.5833774,229.9268528,4.979530574
,1903.801102,16.88605793,165.0804991,7.152558025,1910.608973,37.02063304,215.9954847,3.838628234,1872.965451,39.67616351,245.204203,7.529201558,,,1787.666832,40.71745831,172.2738246,6.679345642,1736.407568,57.31799374,215.5875701,3.462683651,1697.96312,36.91652043,250.7592223,9.075670497,,,1772.849701,36.78596531,163.8688975,12.20628568,1687.951545,22.21757752,201.3094262,2.521324931,1699.965435,30.87982631,232.8581095,7.320075479,,,1881.375174,56.20480728,149.886108,4.63533961,1884.578878,15.73569918,187.0647322,3.803098683,1890.18536,30.86943781,208.3129496,8.173849281,,,1882.576563,20.55276619,153.6348512,6.8100905,1912.210825,34.35122968,196.0762639,3.378853542,1886.18073,30.2183765,217.457496,4.732165162
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
