Date,Time,PAR,Y(II),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,PAR(II),ETR(II),PB#,Sigma
02.04.20,9:04:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB4,1.356
02.04.20,9:04:11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB4,1.356
02.04.20,9:04:10,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB4,1.356
02.04.20,9:04:10,0,0.728,0,0.272,0,0,1,1,0,0,0,PB4,1.356
02.04.20,9:04:30,1,0.704,0.007,0.288,0.025,0.031,0.975,0.914,0.3,0.8165832,0.789662875,PB4,1.356
02.04.20,9:05:00,2,0.709,0.004,0.287,0.014,0.017,0.978,0.925,0.6,1.6331664,1.590542552,PB4,1.356
02.04.20,9:05:30,11,0.687,0.005,0.309,0.015,0.019,0.948,0.833,3.2,8.9824152,8.476537421,PB4,1.356
02.04.20,9:06:00,31,0.628,0.008,0.364,0.021,0.026,0.869,0.646,8.2,25.3140792,21.83687052,PB4,1.356
02.04.20,9:06:30,55,0.57,0.015,0.415,0.037,0.046,0.791,0.514,13.2,44.912076,35.16467489,PB4,1.356
02.04.20,9:07:00,80,0.534,0.026,0.441,0.058,0.069,0.745,0.454,17.9,65.326656,47.91817899,PB4,1.356
02.04.20,9:07:30,114,0.507,0.038,0.455,0.084,0.098,0.713,0.418,24.3,93.0904848,64.83087334,PB4,1.356
02.04.20,9:08:00,150,0.498,0.05,0.452,0.109,0.125,0.705,0.412,31.4,122.48748,83.78951242,PB4,1.356
02.04.20,9:08:30,195,0.488,0.062,0.45,0.138,0.153,0.696,0.407,40,159.233724,106.7390897,PB4,1.356
02.04.20,9:09:00,260,0.479,0.075,0.447,0.167,0.18,0.688,0.401,52.3,212.311632,139.6940546,PB4,1.356
02.04.20,9:09:30,345,0.461,0.085,0.454,0.188,0.199,0.666,0.381,66.8,281.721204,178.3976306,PB4,1.356
02.04.20,9:10:00,440,0.428,0.096,0.476,0.201,0.211,0.621,0.337,79.1,359.296608,211.234819,PB4,1.356
02.04.20,9:10:30,556,0.384,0.106,0.51,0.208,0.216,0.558,0.282,89.7,454.0202592,239.4832136,PB4,1.356
02.04.20,9:11:00,690,0.335,0.117,0.549,0.213,0.22,0.487,0.228,97,563.442408,259.2763828,PB4,1.356
02.04.20,9:11:30,844,0.286,0.127,0.587,0.216,0.223,0.416,0.182,101.3,689.1962208,270.7556582,PB4,1.356
02.04.20,9:12:00,1007,0.244,0.135,0.621,0.218,0.225,0.355,0.147,103.3,822.2992824,275.6058034,PB4,1.356
02.04.20,9:12:30,1207,0.204,0.143,0.653,0.219,0.226,0.297,0.117,103.2,985.6159224,276.1890772,PB4,1.356
02.04.20,9:13:00,1414,0.171,0.151,0.678,0.222,0.229,0.249,0.094,101.5,1154.648645,271.2155471,PB4,1.356
02.04.20,9:13:30,1689,0.138,0.16,0.702,0.228,0.233,0.202,0.074,98.1,1379.209025,261.443469,PB4,1.356
02.04.20,9:14:00,1995,0.111,0.169,0.719,0.235,0.239,0.163,0.058,93.3,1629.083484,248.3904763,PB4,1.356
02.04.20,9:14:12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB4,1.356
02.04.20,9:18:28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB6,1.398
02.04.20,9:18:29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB6,1.398
02.04.20,9:18:28,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB6,1.398
02.04.20,9:18:28,0,0.712,0,0.288,0,0,1,1,0,0,0,PB6,1.398
02.04.20,9:18:48,1,0.694,0.005,0.301,0.017,0.021,0.979,0.933,0.3,0.8418756,0.820592228,PB6,1.398
02.04.20,9:19:18,2,0.695,0,0.304,0.003,0.004,0.977,0.924,0.6,1.6837512,1.643549275,PB6,1.398
02.04.20,9:19:48,11,0.667,0,0.333,0,0,0.936,0.808,3.1,9.2606316,8.675338872,PB6,1.398
02.04.20,9:20:18,31,0.581,0.002,0.417,0.005,0.006,0.817,0.563,7.6,26.0981436,21.29637842,PB6,1.398
02.04.20,9:20:48,55,0.53,0.01,0.461,0.021,0.026,0.748,0.464,12.2,46.303158,34.4672384,PB6,1.398
02.04.20,9:21:18,80,0.508,0.019,0.472,0.041,0.05,0.722,0.435,17.1,67.350048,48.05312413,PB6,1.398
02.04.20,9:21:48,114,0.495,0.03,0.474,0.064,0.077,0.708,0.422,23.7,95.9738184,66.72337094,PB6,1.398
02.04.20,9:22:18,150,0.49,0.04,0.469,0.086,0.101,0.706,0.422,30.9,126.28134,86.90710197,PB6,1.398
02.04.20,9:22:48,195,0.485,0.049,0.466,0.104,0.121,0.702,0.421,39.7,164.165742,111.8263832,PB6,1.398
02.04.20,9:23:18,260,0.469,0.057,0.474,0.121,0.138,0.681,0.399,51.2,218.887656,144.1830206,PB6,1.398
02.04.20,9:23:48,345,0.433,0.066,0.501,0.132,0.149,0.631,0.349,62.7,290.447082,176.6342507,PB6,1.398
02.04.20,9:24:18,440,0.387,0.074,0.539,0.138,0.154,0.565,0.29,71.5,370.425264,201.3406983,PB6,1.398
02.04.20,9:24:49,556,0.336,0.082,0.582,0.141,0.158,0.491,0.233,78.5,468.0828336,220.8930226,PB6,1.398
02.04.20,9:25:19,690,0.286,0.088,0.626,0.14,0.157,0.418,0.184,82.9,580.894164,233.3367007,PB6,1.398
02.04.20,9:25:49,844,0.241,0.094,0.666,0.141,0.158,0.352,0.146,85.3,710.5430064,240.5068322,PB6,1.398
02.04.20,9:26:18,1007,0.202,0.1,0.698,0.143,0.16,0.295,0.117,85.5,847.7687292,240.5186563,PB6,1.398
02.04.20,9:26:49,1207,0.167,0.107,0.726,0.147,0.163,0.245,0.093,84.7,1016.143849,238.3371107,PB6,1.398
02.04.20,9:27:19,1414,0.139,0.113,0.748,0.151,0.168,0.203,0.075,82.3,1190.412098,232.3978675,PB6,1.398
02.04.20,9:27:49,1689,0.111,0.122,0.767,0.159,0.175,0.163,0.058,78.7,1421.927888,221.6769601,PB6,1.398
02.04.20,9:28:19,1995,0.089,0.132,0.779,0.17,0.185,0.131,0.046,74.4,1679.541822,209.9427278,PB6,1.398
02.04.20,9:28:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB6,1.398
02.04.20,9:46:47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB7,1.421
02.04.20,9:46:48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB7,1.421
02.04.20,9:46:47,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB7,1.421
02.04.20,9:46:47,0,0.71,0,0.29,0,0,1,1,0,0,0,PB7,1.421
02.04.20,9:47:07,1,0.69,0.006,0.305,0.019,0.024,0.976,0.923,0.3,0.8557262,0.831621237,PB7,1.421
02.04.20,9:47:37,2,0.69,0,0.309,0.001,0.001,0.972,0.91,0.6,1.7114524,1.663242473,PB7,1.421
02.04.20,9:48:07,11,0.666,0,0.334,0,0,0.937,0.812,3.1,9.4129882,8.829648086,PB7,1.421
02.04.20,9:48:37,31,0.602,0,0.397,0.001,0.001,0.848,0.618,7.8,26.5275122,22.49234133,PB7,1.421
02.04.20,9:49:07,55,0.563,0.007,0.431,0.016,0.02,0.796,0.533,13,47.064941,37.32050955,PB7,1.421
02.04.20,9:49:37,80,0.538,0.016,0.446,0.036,0.044,0.765,0.491,18.1,68.458096,51.87388119,PB7,1.421
02.04.20,9:50:08,114,0.516,0.026,0.457,0.058,0.07,0.739,0.46,24.7,97.5527868,70.89751829,PB7,1.421
02.04.20,9:50:37,150,0.507,0.036,0.457,0.079,0.094,0.729,0.452,31.9,128.35893,91.65912325,PB7,1.421
02.04.20,9:51:07,195,0.497,0.044,0.459,0.096,0.113,0.719,0.441,40.7,166.866609,116.8066263,PB7,1.421
02.04.20,9:51:37,260,0.476,0.051,0.473,0.109,0.126,0.691,0.411,52,222.488812,149.1615134,PB7,1.421
02.04.20,9:52:08,345,0.438,0.058,0.504,0.115,0.132,0.637,0.354,63.5,295.225539,182.1250508,PB7,1.421
02.04.20,9:52:37,440,0.391,0.064,0.545,0.117,0.134,0.569,0.292,72.3,376.519528,207.350895,PB7,1.421
02.04.20,9:53:08,556,0.339,0.07,0.591,0.118,0.135,0.494,0.234,79.2,475.7837672,227.1699959,PB7,1.421
02.04.20,9:53:38,690,0.288,0.074,0.638,0.116,0.133,0.419,0.184,83.4,590.451078,239.5069161,PB7,1.421
02.04.20,9:54:08,844,0.241,0.078,0.681,0.114,0.131,0.351,0.144,85.5,722.2329128,245.1522986,PB7,1.421
02.04.20,9:54:38,1007,0.203,0.083,0.714,0.116,0.133,0.295,0.116,85.7,861.7162834,246.378036,PB7,1.421
02.04.20,9:55:08,1207,0.167,0.087,0.746,0.117,0.134,0.243,0.091,84.8,1032.861523,242.9406682,PB7,1.421
02.04.20,9:55:38,1414,0.139,0.093,0.768,0.122,0.139,0.202,0.074,82.3,1209.996847,236.8867066,PB7,1.421
02.04.20,9:56:08,1689,0.111,0.101,0.788,0.128,0.145,0.163,0.058,79,1445.321552,225.9587215,PB7,1.421
02.04.20,9:56:38,1995,0.088,0.111,0.801,0.139,0.156,0.129,0.045,73.9,1707.173769,211.5933686,PB7,1.421
02.04.20,9:56:49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB7,1.421
02.04.20,10:31:44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB8,1.448
02.04.20,10:31:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB8,1.448
02.04.20,10:31:44,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB8,1.448
02.04.20,10:31:44,0,0.713,0,0.287,0,0,1,1,0,0,0,PB8,1.448
02.04.20,10:32:04,1,0.69,0.008,0.302,0.027,0.034,0.974,0.917,0.3,0.8719856,0.843857032,PB8,1.448
02.04.20,10:32:34,2,0.69,0.003,0.307,0.008,0.01,0.97,0.903,0.6,1.7439712,1.687714065,PB8,1.448
02.04.20,10:33:04,11,0.666,0.003,0.331,0.008,0.01,0.936,0.808,3.1,9.5918416,8.959560316,PB8,1.448
02.04.20,10:33:34,31,0.592,0.003,0.405,0.008,0.01,0.831,0.587,7.7,27.0315536,22.4441511,PB8,1.448
02.04.20,10:34:04,55,0.558,0.009,0.432,0.022,0.027,0.788,0.519,12.9,47.959208,37.53329322,PB8,1.448
02.04.20,10:34:34,80,0.536,0.016,0.448,0.035,0.044,0.76,0.482,18,69.758848,52.44143412,PB8,1.448
02.04.20,10:35:04,114,0.517,0.024,0.459,0.051,0.062,0.736,0.453,24.8,99.4063584,72.08006633,PB8,1.448
02.04.20,10:35:34,150,0.507,0.03,0.463,0.064,0.078,0.723,0.439,31.9,130.79784,93.00772073,PB8,1.448
02.04.20,10:36:04,195,0.495,0.036,0.469,0.077,0.091,0.71,0.425,40.6,170.037192,118.0482609,PB8,1.448
02.04.20,10:36:34,260,0.475,0.041,0.484,0.084,0.099,0.682,0.394,51.9,226.716256,151.038179,PB8,1.448
02.04.20,10:37:04,345,0.438,0.045,0.517,0.088,0.103,0.63,0.341,63.5,300.835032,184.8046901,PB8,1.448
02.04.20,10:37:34,440,0.392,0.048,0.56,0.086,0.101,0.563,0.282,72.5,383.673664,210.9397984,PB8,1.448
02.04.20,10:38:04,556,0.341,0.052,0.607,0.085,0.1,0.49,0.226,79.7,484.8239936,231.8723448,PB8,1.448
02.04.20,10:38:34,690,0.29,0.055,0.655,0.084,0.099,0.416,0.178,84,601.670064,244.7185394,PB8,1.448
02.04.20,10:39:04,844,0.244,0.058,0.699,0.083,0.098,0.35,0.14,86.4,735.9558464,251.8558577,PB8,1.448
02.04.20,10:39:34,1007,0.206,0.062,0.732,0.085,0.1,0.295,0.113,87,878.0894992,253.6976674,PB8,1.448
02.04.20,10:40:04,1207,0.17,0.066,0.764,0.087,0.102,0.244,0.089,86.2,1052.486619,250.9435137,PB8,1.448
02.04.20,10:40:34,1414,0.141,0.072,0.787,0.092,0.108,0.203,0.072,83.6,1232.987638,243.830655,PB8,1.448
02.04.20,10:41:04,1689,0.114,0.079,0.807,0.099,0.115,0.164,0.057,80.8,1472.783678,235.4801393,PB8,1.448
02.04.20,10:41:34,1995,0.091,0.089,0.821,0.108,0.125,0.131,0.044,75.9,1739.611272,222.0261231,PB8,1.448
02.04.20,10:41:46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB8,1.448
02.04.20,10:46:23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB9,1.428
02.04.20,10:46:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB9,1.428
02.04.20,10:46:23,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB9,1.428
02.04.20,10:46:23,0,0.715,0,0.285,0,0,1,1,0,0,0,PB9,1.428
02.04.20,10:46:43,1,0.689,0.007,0.304,0.024,0.03,0.97,0.903,0.3,0.8599416,0.828670996,PB9,1.428
02.04.20,10:47:13,2,0.693,0,0.306,0.002,0.002,0.97,0.902,0.6,1.7198832,1.666963717,PB9,1.428
02.04.20,10:47:43,11,0.669,0.004,0.327,0.011,0.014,0.939,0.815,3.1,9.4593576,8.850783545,PB9,1.428
02.04.20,10:48:13,31,0.574,0.002,0.424,0.005,0.006,0.803,0.539,7.5,26.6581896,21.40112004,PB9,1.428
02.04.20,10:48:43,55,0.529,0.01,0.461,0.022,0.027,0.744,0.457,12.2,47.296788,34.99300818,PB9,1.428
02.04.20,10:49:13,80,0.507,0.02,0.474,0.042,0.051,0.717,0.425,17,68.795328,48.78214167,PB9,1.428
02.04.20,10:49:43,114,0.487,0.031,0.482,0.064,0.078,0.693,0.402,23.3,98.0333424,66.77236049,PB9,1.428
02.04.20,10:50:13,150,0.48,0.041,0.479,0.086,0.101,0.687,0.398,30.2,128.99124,86.59551776,PB9,1.428
02.04.20,10:50:43,195,0.473,0.05,0.477,0.106,0.122,0.681,0.395,38.7,167.688612,110.9324664,PB9,1.428
02.04.20,10:51:13,260,0.463,0.058,0.479,0.122,0.138,0.669,0.384,50.5,223.584816,144.7828948,PB9,1.428
02.04.20,10:51:43,345,0.442,0.066,0.492,0.135,0.152,0.641,0.357,64,296.679852,183.4020903,PB9,1.428
02.04.20,10:52:13,440,0.407,0.073,0.52,0.14,0.156,0.591,0.311,75.2,378.374304,215.3822961,PB9,1.428
02.04.20,10:52:43,556,0.362,0.079,0.559,0.141,0.158,0.526,0.257,84.5,478.1275296,242.072959,PB9,1.428
02.04.20,10:53:13,690,0.313,0.084,0.603,0.138,0.155,0.455,0.206,90.7,593.359704,259.7504718,PB9,1.428
02.04.20,10:53:43,844,0.267,0.087,0.647,0.134,0.15,0.387,0.164,94.5,725.7907104,271.029538,PB9,1.428
02.04.20,10:54:14,1007,0.227,0.089,0.684,0.131,0.147,0.329,0.132,95.8,865.9611912,274.927539,PB9,1.428
02.04.20,10:54:44,1207,0.189,0.092,0.719,0.128,0.145,0.273,0.104,95.6,1037.949511,274.3670736,PB9,1.428
02.04.20,10:55:13,1414,0.157,0.096,0.746,0.129,0.146,0.228,0.084,93.5,1215.957422,267.000441,PB9,1.428
02.04.20,10:55:43,1689,0.127,0.102,0.772,0.132,0.148,0.184,0.065,90,1452.441362,257.9860881,PB9,1.428
02.04.20,10:56:13,1995,0.102,0.108,0.79,0.136,0.153,0.148,0.051,85.4,1715.583492,244.7405821,PB9,1.428
02.04.20,10:56:25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB9,1.428
02.04.20,10:01:14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB10,1.419
02.04.20,10:01:15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB10,1.419
02.04.20,10:01:14,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB10,1.419
02.04.20,10:01:14,0,0.722,0,0.278,0,0,1,1,0,0,0,PB10,1.419
02.04.20,10:01:35,1,0.692,0.009,0.299,0.029,0.036,0.967,0.893,0.3,0.8545218,0.819015354,PB10,1.419
02.04.20,10:02:05,2,0.696,0.002,0.302,0.007,0.009,0.967,0.89,0.6,1.7090436,1.647499094,PB10,1.419
02.04.20,10:02:35,11,0.671,0.003,0.326,0.009,0.012,0.933,0.795,3.1,9.3997398,8.73576926,PB10,1.419
02.04.20,10:03:05,31,0.58,0.003,0.418,0.006,0.008,0.805,0.535,7.6,26.4901758,21.28019663,PB10,1.419
02.04.20,10:03:35,55,0.53,0.009,0.461,0.02,0.025,0.738,0.443,12.2,46.998699,34.50043001,PB10,1.419
02.04.20,10:04:05,80,0.504,0.018,0.478,0.037,0.045,0.706,0.407,16.9,68.361744,47.7206634,PB10,1.419
02.04.20,10:04:35,114,0.485,0.029,0.486,0.06,0.073,0.683,0.384,23.2,97.4154852,65.43837995,PB10,1.419
02.04.20,10:05:05,150,0.478,0.041,0.482,0.084,0.099,0.677,0.382,30.1,128.17827,84.8604059,PB10,1.419
02.04.20,10:05:35,195,0.473,0.051,0.476,0.107,0.123,0.675,0.383,38.7,166.631751,109.1645682,PB10,1.419
02.04.20,10:06:05,260,0.465,0.061,0.473,0.129,0.145,0.668,0.379,50.8,222.175668,143.0909773,PB10,1.419
02.04.20,10:06:35,345,0.447,0.071,0.482,0.147,0.162,0.645,0.357,64.8,294.810021,182.5208856,PB10,1.419
02.04.20,10:07:05,440,0.415,0.08,0.505,0.158,0.173,0.6,0.317,76.7,375.989592,216.1159012,PB10,1.419
02.04.20,10:07:35,556,0.37,0.088,0.541,0.163,0.178,0.536,0.264,86.5,475.1141208,243.4795356,PB10,1.419
02.04.20,10:08:05,690,0.322,0.096,0.581,0.165,0.18,0.467,0.214,93.4,589.620042,262.960739,PB10,1.419
02.04.20,10:08:35,844,0.275,0.103,0.622,0.165,0.18,0.399,0.171,97.7,721.2163992,274.7015371,PB10,1.419
02.04.20,10:09:05,1007,0.235,0.108,0.657,0.165,0.179,0.34,0.138,99.3,860.5034526,280.0807637,PB10,1.419
02.04.20,10:09:35,1207,0.195,0.115,0.69,0.166,0.18,0.283,0.109,98.9,1031.407813,278.565822,PB10,1.419
02.04.20,10:10:05,1414,0.164,0.12,0.716,0.168,0.182,0.238,0.088,97.4,1208.293825,274.4600933,PB10,1.419
02.04.20,10:10:35,1689,0.133,0.127,0.74,0.172,0.185,0.193,0.069,94.1,1443.28732,265.8687169,PB10,1.419
02.04.20,10:11:05,1995,0.107,0.135,0.758,0.179,0.192,0.155,0.054,89.4,1704.770991,252.6461164,PB10,1.419
02.04.20,10:11:17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB10,1.419
