PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.7206666666666667,0.0018856180831641283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.7006666666666668,0.0023570226039551605,0.004333333333333334,0.0004714045207910317,0.014666666666666668,0.002357022603955159,0.018666666666666668,0.002357022603955159,0.9776666666666666,0.0009428090415821165,0.9246666666666666,0.0023570226039551605,0.3,0.0
2.0,0.7050000000000001,0.0021602468994692714,0.0026666666666666666,0.0020548046676563255,0.009000000000000001,0.005715476066494082,0.011666666666666667,0.007760297817881878,0.9803333333333333,0.0016996731711975963,0.9323333333333332,0.00543650214343333,0.6,0.0
11.0,0.6759999999999998,0.004082482904638634,0.0026666666666666666,0.0020548046676563255,0.009000000000000001,0.00697614984548545,0.011333333333333334,0.008653836657164779,0.9396666666666667,0.004496912521077304,0.8136666666666666,0.012283683848458864,3.1,0.0
31.0,0.6043333333333334,0.008956685895029558,0.004333333333333334,0.0036817870057290875,0.011666666666666667,0.009809292646374774,0.014666666666666666,0.012256517540566822,0.8403333333333333,0.011897712198383124,0.597,0.02004993765576344,7.866666666666667,0.12472191289246468
55.0,0.5773333333333334,0.007318166133366694,0.010666666666666666,0.005312459150169743,0.02633333333333333,0.012710450643291744,0.03266666666666667,0.015542057635833021,0.8063333333333333,0.008806563209081925,0.5423333333333332,0.013123346456686311,13.333333333333334,0.1699673171197597
80.0,0.5676666666666667,0.0075865377844940044,0.018,0.0053541261347363365,0.044333333333333336,0.01239175353029407,0.05366666666666667,0.014884742374510738,0.7973333333333334,0.009463379711052246,0.531,0.013490737563232052,19.066666666666666,0.26246692913372743
114.0,0.557,0.007257180352359052,0.024000000000000004,0.005354126134736336,0.057666666666666665,0.013021349989749737,0.06933333333333334,0.0142672897060218,0.7846666666666667,0.009285592184789408,0.514,0.012569805089976521,26.666666666666668,0.3399346342395194
150.0,0.544,0.0072571803523590874,0.028333333333333335,0.0054365021434333635,0.066,0.012961481396815723,0.07833333333333334,0.014659088951530683,0.7683333333333334,0.009741092797468313,0.49233333333333335,0.013474255287605175,34.26666666666667,0.4784233364802443
195.0,0.5203333333333333,0.008806563209081944,0.03166666666666667,0.005557777333511024,0.07100000000000001,0.01208304597359457,0.08433333333333333,0.013767917618708922,0.7360000000000001,0.01219289410544788,0.44966666666666666,0.01497405163014413,42.63333333333333,0.7408703590297608
260.0,0.4776666666666667,0.011085526098877243,0.034999999999999996,0.006480740698407857,0.072,0.01275408431313932,0.085,0.014165686240583852,0.6756666666666667,0.015369522511197988,0.37933333333333336,0.015839472494022285,52.166666666666664,1.1813363431112902
345.0,0.4203333333333333,0.012256517540566834,0.038000000000000006,0.007118052168020877,0.07033333333333334,0.012970050972229145,0.08366666666666667,0.014636332266733436,0.5950000000000001,0.01699019324983284,0.3006666666666667,0.01463633226673342,60.93333333333334,1.7913371790059225
440.0,0.36300000000000004,0.012027745701779141,0.04,0.008485281374238571,0.067,0.01498888477061141,0.07966666666666666,0.016858891488535727,0.513,0.016970562748477157,0.23566666666666666,0.011813363431112911,67.13333333333333,2.21710521977545
556.0,0.30633333333333335,0.011556623882239821,0.041,0.01067707825203131,0.063,0.016512621435334447,0.07500000000000001,0.01867261809888122,0.4326666666666667,0.01602775370689509,0.18166666666666667,0.009672412085697928,71.56666666666666,2.6662499674428286
690.0,0.25433333333333336,0.010208928554075711,0.042,0.01219289410544792,0.06033333333333333,0.018372685039360893,0.07166666666666667,0.020677416559027766,0.3586666666666667,0.013912424503139483,0.14033333333333334,0.00731816613336671,73.76666666666667,2.9601051032391132
844.0,0.21,0.008524474568362942,0.043666666666666666,0.014197026292697904,0.058666666666666666,0.01948218559493661,0.07,0.02255363976538303,0.2956666666666667,0.012498888839501768,0.10866666666666665,0.005436502143433365,74.33333333333333,3.0814859330452182
1007.0,0.17466666666666666,0.007586537784494043,0.04633333333333333,0.0154344492037203,0.059666666666666666,0.020853989759489405,0.07133333333333335,0.02347102232304526,0.246,0.010614455552060434,0.08633333333333333,0.0044969125210773475,73.76666666666667,3.109483701338356
1207.0,0.14166666666666666,0.006182412330330462,0.050333333333333334,0.01681930108205715,0.06266666666666666,0.021452790546272117,0.07466666666666667,0.024390344173235625,0.20000000000000004,0.008485281374238578,0.068,0.0035590260840104365,71.83333333333333,3.1562988170042137
1414.0,0.11699999999999999,0.004966554808583778,0.056,0.01790716802475106,0.068,0.02237558192911788,0.08,0.02515286597321798,0.16566666666666666,0.0068475461947247185,0.05466666666666666,0.0026246692913372716,69.5,2.9877527787062097
1689.0,0.09300000000000001,0.004320493798938573,0.063,0.018547236990991405,0.07533333333333334,0.023156472577277876,0.08866666666666667,0.02548637980482037,0.13133333333333333,0.005906681715556449,0.042666666666666665,0.0018856180831641283,65.96666666666665,3.04448499567478
1995.0,0.07333333333333333,0.003091206165165231,0.07333333333333335,0.018838494867926388,0.08633333333333333,0.02392116682401221,0.10033333333333333,0.02608107018935807,0.10433333333333335,0.004496912521077348,0.03333333333333333,0.0016996731711975963,61.699999999999996,2.6419689627245817
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.7146666666666667,0.0012472191289246482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.6916666666666668,0.00047140452079108444,0.005666666666666667,0.0004714045207910317,0.018333333333333333,0.002357022603955159,0.02366666666666667,0.003299831645537223,0.9736666666666668,0.00047140452079108444,0.9149999999999999,0.0014142135623730963,0.3,0.0
2.0,0.6943333333333334,0.0016996731711975458,0.005333333333333333,0.0018856180831641268,0.018333333333333333,0.005436502143433365,0.02266666666666667,0.006599663291074443,0.9766666666666667,0.002494438257849257,0.9233333333333332,0.007133644853010906,0.6,0.0
11.0,0.6483333333333333,0.007845734863959886,0.008666666666666668,0.0016996731711975957,0.02566666666666667,0.004496912521077347,0.03233333333333333,0.005436502143433365,0.9136666666666665,0.009285592184789434,0.7556666666666666,0.02163844315615666,2.966666666666667,0.04714045207910321
31.0,0.529,0.012961481396815732,0.016333333333333335,0.0016996731711975965,0.03566666666666667,0.0028674417556808756,0.044333333333333336,0.003299831645537222,0.7480000000000001,0.01714642819948221,0.4653333333333334,0.021638443156156643,6.8999999999999995,0.14142135623730942
55.0,0.48533333333333334,0.007318166133366723,0.028333333333333332,0.00047140452079103207,0.057666666666666665,0.0004714045207910288,0.07,0.0,0.6906666666666667,0.00967241208569792,0.399,0.009899494936611674,11.233333333333334,0.1699673171197597
80.0,0.4766666666666666,0.005792715732327594,0.03866666666666666,0.0016996731711975911,0.079,0.004242640687119289,0.09400000000000001,0.004966554808583778,0.6823333333333333,0.008178562764256868,0.39299999999999996,0.008981462390204972,16.03333333333333,0.16996731711975913
114.0,0.47433333333333333,0.006599663291074429,0.04766666666666667,0.0030912061651652374,0.10033333333333334,0.008956685895029603,0.11633333333333333,0.008956685895029603,0.6826666666666666,0.0097410927974683,0.39666666666666667,0.011728408057172771,22.7,0.29439202887759586
150.0,0.4706666666666666,0.007845734863959892,0.054,0.004320493798938571,0.11499999999999999,0.012083045973594574,0.13133333333333333,0.012552113589175152,0.6803333333333333,0.013021349989749714,0.39633333333333337,0.014974051630144149,29.666666666666668,0.49216076867444636
195.0,0.4526666666666666,0.009843215373488918,0.06166666666666667,0.005436502143433369,0.127,0.01435270009440732,0.14333333333333334,0.014055445761538676,0.6566666666666666,0.015520595635763723,0.37233333333333335,0.017307673314329575,37.06666666666667,0.8219218670625303
260.0,0.41333333333333333,0.01189771219838315,0.06966666666666667,0.006236095644623235,0.13566666666666669,0.0160485374896143,0.15166666666666664,0.015434449203720316,0.601,0.018184242262647775,0.3196666666666667,0.01717232916318836,45.1,1.3140268896284693
345.0,0.359,0.012832251036613423,0.07833333333333335,0.007408703590297624,0.13933333333333334,0.017133463034528527,0.156,0.01667333200053306,0.5223333333333334,0.019154343864744874,0.25566666666666665,0.014884742374510738,52.0,1.854723699099142
440.0,0.307,0.012754084313139338,0.085,0.008602325267042629,0.141,0.016872067646458343,0.15733333333333333,0.016759740119968704,0.44733333333333336,0.018838494867926363,0.20266666666666666,0.012229290885229413,56.76666666666667,2.3837412238374838
556.0,0.25733333333333336,0.011556623882239807,0.09166666666666667,0.008653836657164788,0.141,0.016673332000533055,0.15733333333333333,0.0157550697307953,0.37433333333333335,0.016579773487261158,0.158,0.009416297927883689,60.1,2.687005768508882
690.0,0.21266666666666664,0.009672412085697942,0.09766666666666668,0.009463379711052261,0.142,0.016083117442419748,0.15833333333333333,0.015173075568988047,0.3096666666666667,0.014613540144521995,0.123,0.007118052168020874,61.63333333333333,2.859292841867644
844.0,0.17533333333333334,0.008806563209081932,0.10433333333333335,0.009843215373488924,0.1446666666666667,0.01586050300449376,0.161,0.01496662954709578,0.25533333333333336,0.012283683848458852,0.09733333333333333,0.005185449728701347,62.1,3.0099833886584824
1007.0,0.14533333333333334,0.007408703590297617,0.11133333333333334,0.01033870827951388,0.15033333333333332,0.015965240019770722,0.166,0.015513435037626797,0.21233333333333335,0.010208928554075698,0.07833333333333332,0.004496912521077341,61.6,3.101612483854166
1207.0,0.11933333333333333,0.0060184900284225955,0.12033333333333333,0.010873004286866732,0.159,0.01667333200053306,0.17433333333333334,0.0157550697307953,0.17433333333333334,0.008806563209081932,0.06266666666666666,0.003299831645537225,60.4,3.0594117081556695
1414.0,0.09833333333333334,0.005436502143433369,0.132,0.012355835328567091,0.17133333333333334,0.01913693345920977,0.18600000000000003,0.017281975195754282,0.14433333333333334,0.007586537784494022,0.05133333333333334,0.003091206165165236,58.4,3.234192325759245
1689.0,0.07833333333333332,0.0041096093353126546,0.14533333333333334,0.014817407180595245,0.18800000000000003,0.022759613353482092,0.20066666666666666,0.020138409955990953,0.11499999999999999,0.005887840577551896,0.04,0.0021602468994692844,55.26666666666667,2.914713631826557
1995.0,0.062,0.0032659863237109073,0.16166666666666665,0.01798765008430939,0.209,0.029063149634316415,0.219,0.024097026095903758,0.09200000000000001,0.0045460605656619515,0.032,0.0014142135623730963,52.03333333333334,2.656229575084871
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
